DEPTH,GR,LLD,RHOB,PhiNSS
M,API,ohm.m,g/cm3,porosity units
3004.566,62.0198,1.3699,2.2998,0.2312
3004.7184,60.4043,1.3587,2.2779,0.2238
3004.8708,53.2889,1.3474,2.2548,0.2459
3005.0232,54.4009,1.3163,2.2351,0.2511
3005.1756,53.2318,1.3292,2.2313,0.262
3005.328,54.4011,1.2976,2.25,0.2513
3005.4804,55.1124,1.2287,2.2779,0.2464
3005.6328,58.6195,1.2053,2.2906,0.2359
3005.7852,61.6783,1.2257,2.2762,0.2313
3005.9376,60.9577,1.2256,2.2411,0.2466
3006.09,55.9579,1.2598,2.2225,0.2613
3006.2424,52.1042,1.3047,2.2044,0.2761
3006.3948,50.3049,1.2675,2.2149,0.2755
3006.5472,54.3576,1.2308,2.2232,0.2791
3006.6996,56.079,1.2566,2.2295,0.2696
3006.852,59.6739,1.289,2.2417,0.2604
3007.0044,58.6534,1.3089,2.2452,0.2483
3007.1568,58.3526,1.3651,2.2541,0.2514
3007.3092,58.567,1.3667,2.2431,0.2474
3007.4616,57.0113,1.3313,2.2396,0.2447
3007.614,56.9224,1.2992,2.219,0.2548
3007.7664,52.1081,1.2579,2.211,0.2593
3007.9188,52.7371,1.1953,2.2136,0.2584
3008.0712,56.2722,1.1651,2.2144,0.2617
3008.2236,58.5762,1.156,2.2214,0.2587
3008.376,58.695,1.1652,2.2157,0.277
3008.5284,55.03,1.1875,2.2095,0.2769
3008.6808,55.4359,1.2089,2.2082,0.2791
3008.8332,53.6651,1.2238,2.2089,0.2784
3008.9856,54.7043,1.2226,2.2232,0.2743
3009.138,54.2347,1.2171,2.2369,0.2616
3009.2904,56.424,1.238,2.2478,0.2474
3009.4428,54.8896,1.2415,2.2492,0.258
3009.5952,56.512,1.2202,2.2468,0.2797
3009.7476,58.0488,1.205,2.2382,0.2916
3009.9,57.6992,1.156,2.2263,0.2775
3010.0524,56.0292,1.154,2.2307,0.2676
3010.2048,53.9917,1.1687,2.2576,0.2685
3010.3572,53.2454,1.1775,2.2652,0.2789
3010.5096,52.8188,1.2208,2.2717,0.2862
3010.662,50.6767,1.2605,2.267,0.2869
3010.8144,50.7091,1.2524,2.2813,0.2724
3010.9668,49.7938,1.2431,2.2789,0.2586
3011.1192,50.8795,1.1703,2.2562,0.2463
3011.2716,55.2118,1.1201,2.2272,0.2497
3011.424,57.0355,1.1447,2.2198,0.26
3011.5764,61.4245,1.2106,2.2383,0.2809
3011.7288,63.4123,1.2896,2.268,0.2843
3011.8812,66.7355,1.3251,2.2801,0.271
3012.0336,64.1251,1.2911,2.2665,0.2552
3012.186,61.1435,1.2271,2.2395,0.2486
3012.3384,55.2673,1.2173,2.225,0.2564
3012.4908,55.1757,1.2273,2.2216,0.2647
3012.6432,53.3959,1.2579,2.2177,0.2641
3012.7956,56.3312,1.329,2.2173,0.2585
3012.948,53.8492,1.3652,2.2201,0.2615
3013.1004,53.0364,1.363,2.2248,0.2594
3013.2528,51.504,1.355,2.2299,0.2749
3013.4052,51.335,1.3276,2.2323,0.2503
3013.5576,55.1648,1.2977,2.2328,0.2403
3013.71,54.4981,1.2948,2.2369,0.2296
3013.8624,54.4981,1.3082,2.244,0.2438
3014.0148,52.5941,1.3148,2.2446,0.2557
3014.1672,53.6322,1.3449,2.2362,0.2534
3014.3196,54.6217,1.3748,2.2462,0.2521
3014.472,55.1781,1.3845,2.2716,0.2459
3014.6244,58.4073,1.3838,2.2892,0.2489
3014.7768,57.5704,1.354,2.2754,0.2506
3014.9292,58.3284,1.3059,2.2453,0.2542
3015.0816,54.5623,1.2671,2.2294,0.2608
3015.234,52.5335,1.2758,2.2306,0.259
3015.3864,51.821,1.2594,2.2338,0.265
3015.5388,52.858,1.2206,2.2292,0.2688
3015.6912,57.1258,1.2032,2.2259,0.2868
3015.8436,57.333,1.211,2.211,0.3002
3015.996,58.2404,1.2291,2.2139,0.3138
3016.1484,55.7749,1.2918,2.2108,0.3118
3016.3008,53.95,1.3147,2.2209,0.2905
3016.4532,52.4126,1.3052,2.2239,0.2794
3016.6056,58.4479,1.316,2.2274,0.2768
3016.758,59.1118,1.3303,2.2266,0.299
3016.9104,58.4455,1.3175,2.2338,0.2892
3017.0628,52.8335,1.3103,2.2365,0.28
3017.2152,52.2024,1.2593,2.247,0.2528
3017.3676,52.6283,1.1953,2.2764,0.2586
3017.52,53.7621,1.1545,2.2952,0.2629
3017.6724,56.36,1.1635,2.2795,0.2816
3017.8248,53.8763,1.2263,2.2473,0.2631
3017.9772,56.2322,1.306,2.2339,0.2587
3018.1296,55.6697,1.3674,2.2448,0.2434
3018.282,55.539,1.3909,2.2607,0.234
3018.4344,52.6733,1.3368,2.2654,0.2258
3018.5868,51.51,1.2426,2.2602,0.2196
3018.7392,53.3438,1.1109,2.2555,0.2151
3018.8916,54.2295,1.0089,2.2587,0.2121
3019.044,54.9161,0.9658,2.2563,0.2328
3019.1964,57.7537,0.9832,2.2568,0.2496
3019.3488,58.7861,1.0507,2.2708,0.2902
3019.5012,60.7227,1.0954,2.276,0.2883
3019.6536,60.0739,1.1228,2.2588,0.2989
3019.806,58.8858,1.1227,2.2276,0.2768
3019.9584,55.0008,1.0747,2.2065,0.2691
3020.1108,55.4802,1.0179,2.2012,0.2656
3020.2632,58.1761,1.0733,2.2032,0.2649
3020.4156,62.1815,1.2535,2.2173,0.2708
3020.568,66.4706,1.5419,2.2594,0.2768
3020.7204,68.7451,2.0558,2.3283,0.2558
3020.8728,67.5298,2.6557,2.3776,0.2448
3021.0252,69.716,2.5383,2.3826,0.2458
3021.1776,76.5187,2.4546,2.3867,0.2635
3021.33,89.2829,2.3949,2.3831,0.2699
3021.4824,90.0112,2.2234,2.3649,0.2877
3021.6348,86.9976,2.2813,2.3374,0.2984
3021.7872,82.7154,2.2746,2.3483,0.3176
3021.9396,82.2726,2.1318,2.3944,0.3075
3022.092,83.7589,2.1603,2.4089,0.317
3022.2444,83.4712,2.3673,2.376,0.3148
3022.3968,86.1222,2.8519,2.3561,0.338
3022.5492,87.069,3.6501,2.3926,0.3124
3022.7016,88.8141,3.5949,2.4321,0.2867
3022.854,91.0902,2.5202,2.4177,0.2472
3023.0064,88.3979,1.6862,2.3478,0.2289
3023.1588,78.1167,1.3326,2.2702,0.2243
3023.3112,65.7253,1.1565,2.2172,0.2442
3023.4636,57.0225,1.1274,2.1918,0.2675
3023.616,58.3377,1.0967,2.1971,0.2903
3023.7684,56.4856,1.0783,2.189,0.2952
3023.9208,57.1351,1.086,2.1882,0.3028
3024.0732,56.546,1.0912,2.1956,0.2981
3024.2256,58.2519,1.111,2.2088,0.295
3024.378,60.7618,1.1482,2.221,0.2843
3024.5304,58.6916,1.182,2.2148,0.2692
3024.6828,59.7107,1.218,2.2225,0.262
3024.8352,59.627,1.248,2.2362,0.2715
3024.9876,59.0603,1.284,2.2466,0.2707
3025.14,58.5413,1.2674,2.2331,0.2667
3025.2924,55.3358,1.205,2.223,0.2607
3025.4448,57.7101,1.1164,2.2163,0.2693
3025.5972,54.9851,1.0757,2.2255,0.2726
3025.7496,54.9851,1.105,2.2306,0.2794
3025.902,50.6286,1.1328,2.2396,0.2762
3026.0544,53.1134,1.2358,2.242,0.2755
3026.2068,52.0012,1.3136,2.2406,0.2616
3026.3592,52.115,1.2924,2.2397,0.26
3026.5116,54.0422,1.2365,2.2335,0.2623
3026.664,57.7117,1.2067,2.2348,0.2763
3026.8164,60.9718,1.1581,2.2422,0.2754
3026.9688,58.3951,1.1543,2.2648,0.2743
3027.1212,57.0987,1.1995,2.2642,0.2697
3027.2736,57.6376,1.2481,2.2588,0.2742
3027.426,58.8132,1.2863,2.2391,0.2773
3027.5784,58.3316,1.3129,2.229,0.2815
3027.7308,55.1975,1.3175,2.221,0.2867
3027.8832,57.3552,1.2659,2.2197,0.2873
3028.0356,60.9087,1.2312,2.2165,0.2866
3028.188,59.1836,1.198,2.2238,0.2871
3028.3404,58.5142,1.1621,2.2349,0.264
3028.4928,56.1273,1.1374,2.2372,0.2747
3028.6452,58.7782,1.0932,2.227,0.2844
3028.7976,55.2046,1.0927,2.2235,0.2947
3028.95,56.657,1.1195,2.2193,0.286
3029.1024,55.8133,1.1889,2.2369,0.2812
3029.2548,55.554,1.2847,2.2453,0.2643
3029.4072,51.0609,1.342,2.2551,0.2516
3029.5596,51.6448,1.3828,2.2477,0.246
3029.712,53.4334,1.3653,2.2409,0.2664
3029.8644,54.4928,1.3324,2.236,0.2941
3030.0168,53.1089,1.2872,2.2228,0.295
3030.1692,51.3203,1.2519,2.2035,0.2954
3030.3216,50.6601,1.1807,2.1841,0.2945
3030.474,51.7382,1.0969,2.1855,0.2982
3030.6264,53.167,1.0427,2.1877,0.2897
3030.7788,54.4378,1.0507,2.2132,0.287
3030.9312,59.0517,1.108,2.2471,0.2792
3031.0836,59.7104,1.2875,2.2809,0.2835
3031.236,62.3825,1.4432,2.2984,0.2738
3031.3884,60.431,1.448,2.3094,0.2647
3031.5408,67.9173,1.4511,2.3255,0.2497
3031.6932,68.5668,1.5813,2.3147,0.2462
3031.8456,72.4383,1.5499,2.3095,0.2412
3031.998,70.353,1.4774,2.2918,0.241
3032.1504,70.4829,1.4664,2.2586,0.2326
3032.3028,67.6076,1.3887,2.2252,0.2502
3032.4552,61.9376,1.2064,2.2019,0.2666
